WorkerId,Approve? (A/R),Feedback?,"Grant Bonus? (amount,reason)",attribute,answers,,,,,,,,,,,,,,,,,,,
A2XFO0X6RCS98M,,,,separation_1:26:00::,unaccompanied : 15,apart : 19,asunder : 19,disjoint : 19,distinct : 19,isolated : 20,separate : 20,,,,,,,,,,,,,
AAJ5CS1GQYADR,,,,separation_1:26:00::,apart : 0,asunder : 0,disjoint : 0,distinct : 0,isolated : 0,separate : 0,unaccompanied : 0,,,,,,,,,,,,,
A2XFO0X6RCS98M,,,,modernity_1:07:00::,red-brick : 5,neo : 19,contemporary : 20,modern : 20,ultramodern : 20,,,,,,,,,,,,,,,
A3DNZIZRJ847AR,,,,modernity_1:07:00::,modern : 0,red-brick : 0,contemporary : 1,ultramodern : 19,neo : 20,,,,,,,,,,,,,,,
A3K8M2HF171NED,,,,status_1:26:00::,lower-class : 0,under : 0,subordinate : 1,associate : 3,lower-middle-class : 4,secondary : 6,assistant : 8,middle-class : 9,conservative : 10,quality : 12,bourgeois : 14,possessive : 14,upper-middle-class : 14,superior : 17,controlling : 20,dominant : 20,governing : 20,paramount : 20,supreme : 20,
A1LOD3LNX7FUPJ,,,,status_1:26:00::,under : 0,lower-middle-class : 1,lower-class : 3,controlling : 6,paramount : 6,possessive : 6,assistant : 7,superior : 8,middle-class : 9,u : 9,conservative : 10,associate : 11,secondary : 12,subordinate : 12,quality : 13,bourgeois : 14,governing : 15,supreme : 17,dominant : 18,upper-middle-class : 19
A2CEUCPDECS6U3,,,,gregariousness_1:07:00::,solitary : 0,ungregarious : 0,gregarious : 19,social : 19,,,,,,,,,,,,,,,,
A23WHSJ0I16TNN,,,,gregariousness_1:07:00::,solitary : 0,ungregarious : 0,gregarious : 20,social : 20,,,,,,,,,,,,,,,,
A291KO368YRYCR,,,,gregariousness_1:07:00::,ungregarious : 0,solitary : 1,social : 19,gregarious : 20,,,,,,,,,,,,,,,,
AMX5R6NLYNA2K,,,,kindness_1:07:00::,hurtful : 0,unkind : 0,unsympathetic : 0,cutting : 1,rough : 1,benign : 19,gentle : 19,gracious : 20,kind : 20,kind-hearted : 20,sympathetic : 20,,,,,,,,,
A1J8TVICSRC70W,,,,kindness_1:07:00::,cutting : 0,hurtful : 0,rough : 3,unkind : 3,unsympathetic : 3,benign : 15,gentle : 15,sympathetic : 15,gracious : 18,kind : 18,kind-hearted : 18,,,,,,,,,
A03922113RU44GENR8ATX,,,,kindness_1:07:00::,hurtful : 0,rough : 0,cutting : 1,unkind : 1,unsympathetic : 2,gentle : 18,kind-hearted : 19,sympathetic : 19,gracious : 20,kind : 20,,,,,,,,,,
A3454T4PU9GJM0,,,,immediacy_1:07:02::,indirect : 1,mediate : 2,direct : 17,immediate : 20,,,,,,,,,,,,,,,,
A125P73OQSRNI5,,,,immediacy_1:07:02::,indirect : 0,mediate : 0,direct : 20,immediate : 20,,,,,,,,,,,,,,,,
A2XFO0X6RCS98M,,,,ambition_1:07:00::,ambitionless : 1,shiftless : 1,pushful : 17,wishful : 17,ambitious : 19,determined : 19,would-be : 19,overambitious : 20,,,,,,,,,,,,
A1LSEVXPEYMJL7,,,,perfection_1:26:00::,blemished : 0,broken : 1,corrupt : 1,faulty : 2,irregular : 2,imperfect : 3,down : 5,cold : 14,idyllic : 16,errorless : 17,uncorrupted : 17,clean : 18,clear : 18,complete : 19,ideal : 19,impeccable : 19,flawless : 20,mint : 20,perfect : 20,pluperfect : 20
A3KOEOCIY5LUB,,,,perfection_1:26:00::,blemished : 0,broken : 0,imperfect : 0,faulty : 1,corrupt : 2,irregular : 3,uncorrupted : 13,clean : 14,idyllic : 15,clear : 16,errorless : 17,impeccable : 18,complete : 19,ideal : 19,flawless : 20,mint : 20,perfect : 20,pluperfect : 20,,
AOROBXR5A300X,,,,drama_1:07:00::,unspectacular : 0,undramatic : 1,melodramatic : 19,dramatic : 20,hammy : 20,,,,,,,,,,,,,,,
A2XFO0X6RCS98M,,,,drama_1:07:00::,undramatic : 0,unspectacular : 0,hammy : 18,dramatic : 20,melodramatic : 20,spectacular : 20,,,,,,,,,,,,,,
A7SM0NS3IFW96,,,,drama_1:07:00::,hammy : 0,unspectacular : 0,undramatic : 1,melodramatic : 19,dramatic : 20,spectacular : 20,,,,,,,,,,,,,,
A2XFO0X6RCS98M,,,,awareness_1:09:00::,oblivious : 2,unaware : 2,unsuspecting : 2,unconscious : 5,alive : 10,conscious : 10,sensible : 10,aware : 16,,,,,,,,,,,,
A23WHSJ0I16TNN,,,,awareness_1:09:00::,unaware : 0,unconscious : 3,unsuspecting : 3,oblivious : 10,sensible : 10,conscious : 14,aware : 20,,,,,,,,,,,,,
A1J8TVICSRC70W,,,,difference_1:07:00::,several : 4,various : 4,distinct : 8,different : 11,divergent : 11,antithetical : 12,diverse : 12,contrasting : 15,contrary : 17,opposite : 17,disparate : 20,,,,,,,,,
A1C4QUGPOPHFOF,,,,difference_1:07:00::,several : 3,divergent : 8,diverse : 12,various : 12,contrary : 15,contrasting : 15,disparate : 15,distinct : 15,different : 18,opposite : 18,antithetical : 20,,,,,,,,,
AAJ5CS1GQYADR,,,,handiness_1:07:00::,inaccessible : 0,remote : 0,unavailable : 0,unobtainable : 0,pathless : 1,visible : 18,acquirable : 19,addressable : 19,approachable : 19,come-at-able : 19,easy : 19,forthcoming : 19,obtainable : 19,accessible : 20,available : 20,handy : 20,open : 20,ready : 20,,
A406XUSUVXE02,,,,handiness_1:07:00::,inaccessible : 0,unavailable : 0,unobtainable : 0,remote : 1,addressable : 15,approachable : 17,visible : 17,obtainable : 18,ready : 19,accessible : 20,acquirable : 20,available : 20,handy : 20,,,,,,,
A2XFO0X6RCS98M,,,,timidity_1:07:00::,bashful : 12,coy : 12,mousy : 12,timid : 12,fearful : 16,intimidated : 20,,,,,,,,,,,,,,
A291KO368YRYCR,,,,timidity_1:07:00::,intimidated : 17,coy : 18,fearful : 18,mousy : 18,bashful : 19,timid : 19,,,,,,,,,,,,,,
A1A6DUWWGNEE4W,,,,timidity_1:07:00::,intimidated : 15,mousy : 17,bashful : 18,coy : 19,fearful : 19,timid : 19,,,,,,,,,,,,,,
A3K8M2HF171NED,,,,essentiality_1:07:00::,accessorial : 0,adscititious : 0,inessential : 0,organic : 0,biogenic : 2,incidental : 4,no-frills : 6,virtual : 7,primary : 10,staple : 14,substantial : 16,essential : 19,must : 20,vital : 20,,,,,,
A1LOD3LNX7FUPJ,,,,continuity_1:07:00::,straight : 9,nonstop : 17,continual : 18,continuous : 19,persisting : 19,constant : 20,endless : 20,sustained : 20,,,,,,,,,,,,
A2XFO0X6RCS98M,,,,continuity_1:07:00::,straight : 19,constant : 20,continual : 20,continuous : 20,endless : 20,nonstop : 20,persisting : 20,sustained : 20,,,,,,,,,,,,
A3RS7UCO7CQ74R,,,,continuity_1:07:00::,constant : 16,continuous : 16,persisting : 16,continual : 18,nonstop : 18,sustained : 18,endless : 20,,,,,,,,,,,,,
A2MZMONB3L1JH0,,,,humanness_1:07:00::,inhuman : 0,nonhuman : 0,bloodless : 1,dehumanised : 3,weak : 6,earthborn : 13,anthropomorphic : 15,anthropoid : 17,hominal : 19,hominine : 19,human : 20,,,,,,,,,
A1LOD3LNX7FUPJ,,,,humanness_1:07:00::,dehumanised : 0,hominal : 0,inhuman : 0,nonhuman : 0,hominine : 1,weak : 2,bloodless : 3,anthropomorphic : 5,anthropoid : 12,earthborn : 13,human : 20,,,,,,,,,
A3T8J0PN3DLSTM,,,,humanness_1:07:00::,inhuman : 0,nonhuman : 0,dehumanised : 1,bloodless : 4,earthborn : 13,anthropoid : 16,anthropomorphic : 18,hominal : 20,hominine : 20,human : 20,,,,,,,,,,
AEF0KPEB244C7,,,,attention_1:07:00::,absent : 0,distracted : 0,dreamy : 0,yawning : 0,forgetful : 1,inattentive : 1,observant : 19,absorbed : 20,advertent : 20,attentive : 20,solicitous : 20,,,,,,,,,
A7SM0NS3IFW96,,,,attention_1:07:00::,absent : 0,dreamy : 0,yawning : 0,absorbed : 1,inattentive : 1,observant : 1,advertent : 19,attentive : 19,forgetful : 19,distracted : 20,oversolicitous : 20,solicitous : 20,,,,,,,,
ABI1EI8UQK6LK,,,,attention_1:07:00::,absent : 0,inattentive : 0,distracted : 1,dreamy : 1,yawning : 4,observant : 17,attentive : 18,absorbed : 19,solicitous : 19,,,,,,,,,,,
A2XFO0X6RCS98M,,,,passivity_1:07:00::,supine : 17,hands-off : 20,passive : 20,,,,,,,,,,,,,,,,,
A45LS1ZTC5ID8,,,,passivity_1:07:00::,hands-off : 17,passive : 18,supine : 19,,,,,,,,,,,,,,,,,
A03922113RU44GENR8ATX,,,,passivity_1:07:00::,hands-off : 20,passive : 20,,,,,,,,,,,,,,,,,,
A2UIRHKDQBWJEZ,,,,freedom_1:26:00::,prisonlike : 0,nonautonomous : 1,trapped : 1,confined : 2,bound : 3,entangled : 3,unconfined : 11,unconstrained : 11,unrestricted : 11,available : 12,footloose : 12,atrip : 15,loose : 15,liberated : 18,independent : 19,free : 20,,,,
