attribute,kappa score,number of adjectives,number of impossible dependencies,problem_dependencies
wariness_1:07:00::,0.5309951060358888,5,0
fullness_1:26:00::,0.5813113522434753,15,0
nature_1:07:01::,0.1982228499132024,16,1,ornery = gruff
sincerity_1:07:00::,0.5710441498418877,12,2,honest = true,true = heart-whole
admissibility_1:07:00::,0.7083813364055298,6,0
attractiveness_1:07:00::,0.47099332220367285,13,0
destructibility_1:07:00::,0.41709844559585496,5,0
significance_1:07:00::,0.5231169626454377,8,0
creativity_1:09:00::,0.3338388214904679,6,0
activeness_1:07:00::,0.3907911592659475,14,1,proactive = active
intelligence_1:09:00::,0.6828053559764862,7,0
sensitivity_1:12:00::,0.5342926215392773,10,0
breakableness_1:07:00::,0.3966090425531914,9,0
practicality_1:07:00::,0.47508993786111386,9,0
complexion_1:07:00::,0.1933497536945814,8,0
correctness_1:07:01::,0.46180131803758795,8,0
completeness_1:26:00::,0.6489510025229053,10,0
age_1:07:00::,0.42671463386329406,14,0
ambition_1:07:00::,0.6626432789162905,7,0
certainty_1:07:00::,0.4275990099009901,5,3,sure_as_shooting = sure,sure_as_shooting = definite
orientation_1:24:00::,0.2982542173401334,9,0
conspicuousness_1:07:00::,0.3935396463205932,7,0
presence_1:26:00::,0.49570815450643785,9,0
numerousness_1:07:00::,0.6541896256887705,8,0
consistency_1:07:00::,0.2713331048663469,7,0
timidity_1:07:00::,0.04282473057288722,6,0
solidity_1:26:00::,0.37818877551020424,5,3,cavernous = hollow,tubular = cavernous
continuity_1:07:00::,0.08410138248847898,7,0
humaneness_1:07:00::,0.3821292775665401,5,0
materiality_1:07:00::,0.479744728079911,6,0
evil_1:07:00::,0.3898389506890252,8,0
difference_1:07:00::,0.10628310062590289,10,6,contrary = distinct,disparate = contrary,contrary = divergent,contrary = different,diverse = various
modesty_1:07:00::,0.7452692867540028,5,0
motion_1:26:00::,0.5529368053760663,10,0
ordinariness_1:07:00::,0.2047208778371167,13,4,exceptional = special,remarkable = extraordinary,special = uncanny
pride_1:07:00::,0.2776486217203592,9,0
currentness_1:07:00::,0.5258314855875833,14,6,topical = on-line,up-to-date = on-going,on-going = live,on-going = current,on-going = latest,on-going = topical
taste_1:09:01::,0.4414893617021278,10,1,cheap = indelicate
absorbency_1:07:00::,0.37252311756935275,5,0
cleanness_1:26:00::,0.38075283836538837,14,0
reasonableness_1:07:00::,0.5981744220656809,9,3,reasonable = commonsense,tenable = reasonable,commonsense = tenable
obviousness_1:07:00::,0.6771935283136283,10,0
comprehensiveness_1:26:00::,0.5736285626723874,7,0
commonness_1:07:00::,0.13202036608983583,10,0
degree_1:07:00::,0.3713049211007614,11,0
freshness_1:07:01::,0.32391826923076916,5,0
seniority_1:26:00::,0.4592324589740277,9,0
necessity_1:26:00::,0.5618915159944369,9,2,inessential = unnecessary
disposition_1:07:00::,0.419614655716993,6,0
temperature_1:07:00::,0.6482049431715677,13,0
obedience_1:07:00::,0.6353082904391636,9,0
happiness_1:26:00::,0.830009066183137,6,0
rightness_1:07:00::,0.6987951807228915,5,0
animation_1:07:01::,0.30635302118188906,17,0
clearness_1:07:02::,0.02103808353808365,6,0
piety_1:07:00::,0.630859375,7,0
thoughtfulness_1:07:00::,0.5506419400855925,9,0
success_1:26:00::,0.6359450747163772,15,0
taste_property,0.5427200490651466,16,9,peppery = acid-tasting,acid-tasting = sour,acid-tasting = salty,savory = tasty,rich = delicious,delicious = pungent,acid-tasting = bitter,delicious = savory
changeableness_1:07:00::,0.5905641649590168,12,0
carefulness_1:07:00::,0.5134491015284091,13,1,studious = careful
cheerfulness_1:07:00::,0.4972640218878252,9,0
