A1LSEVXPEYMJL7,39U1BHVTDMAF9LSIY2KSJIW8OU9T3B,approved,absorbency_1:07:00::,resistant : 0,shock-absorbent : 18,thirsty : 18,absorptive : 19,assimilating : 19,receptive : 19,hygroscopic : 20,nonabsorbent : 20,spongy : 20,,,,,,,,,,,
A1677VUC7FAEKG,3AAJC4I4FHBMGB367F1XLDEE5NJZJB,approved,absorbency_1:07:00::,nonabsorbent : 0,resistant : 0,shock-absorbent : 16,spongy : 16,absorptive : 18,absorbefacient : 20,assimilating : 20,hygroscopic : 20,receptive : 20,thirsty : 20,,,,,,,,,,
A11DOB7V9YBL4S,3ZOTGHDK5JU3GA8PS0ZUXGYXH2YSON,approved,absorbency_1:07:00::,nonabsorbent : 0,resistant : 6,receptive : 15,shock-absorbent : 15,spongy : 15,thirsty : 15,absorbefacient : 20,absorptive : 20,,,,,,,,,,,,
A61GHYNS1DFT7,32SVAV9L3GSAUPT9S2TBOD6GU62A3H,approved,absorbency_1:07:00::,nonabsorbent : 0,resistant : 4,receptive : 14,shock-absorbent : 14,thirsty : 14,absorptive : 16,hygroscopic : 16,spongy : 16,absorbefacient : 18,assimilating : 18,,,,,,,,,,
AMX5R6NLYNA2K,3BV8HQ2ZZXK9R8GRB4R9VGI04X46AJ,approved,absorbency_1:07:00::,nonabsorbent : 0,resistant : 0,assimilating : 19,receptive : 19,spongy : 19,absorbefacient : 20,absorptive : 20,hygroscopic : 20,,,,,,,,,,,,
A1WZ0Y8Q3MSHB7,3ZSY5X72NYURFV8CDBZP76T1QQTORK,approved,absorbency_1:07:00::,nonabsorbent : 0,absorbefacient : 17,absorptive : 17,spongy : 18,receptive : 19,,,,,,,,,,,,,,,
A1ZKYRW46JBCDV,3WAKVUDHUXZCAH8U0JDS1VUQCAWU72,approved,abstemiousness_1:07:00::,austere : 0,abstemious : 1,abstentious : 20,,,,,,,,,,,,,,,,,
A1A6DUWWGNEE4W,3V5Q80FXIYALPMY5FN0WIVNIOHT32Q,approved,abstemiousness_1:07:00::,abstentious : 16,austere : 16,abstemious : 20,,,,,,,,,,,,,,,,,
A61GHYNS1DFT7,3018Q3ZVOJ92DREB3SU76B9W6J0RAO,approved,abstemiousness_1:07:00::,austere : 14,abstemious : 17,abstentious : 19,,,,,,,,,,,,,,,,,
A2XFO0X6RCS98M,35DR22AR5E3MQ2123CLP8LHEVQ43X5,approved,abstemiousness_1:07:00::,abstemious : 16,austere : 16,abstentious : 19,,,,,,,,,,,,,,,,,
A1LOD3LNX7FUPJ,31QTRG6Q2UWIXWWZ664Y42RO2SVPYE,approved,abstemiousness_1:07:00::,austere : 6,abstemious : 14,abstentious : 20,,,,,,,,,,,,,,,,,
A3T8J0PN3DLSTM,3OSWBBLG1FGK8U3ZW1R1LU3QM4XXD3,approved,abstemiousness_1:07:00::,austere : 12,abstentious : 19,abstemious : 20,,,,,,,,,,,,,,,,,
ADKKDK6P4MS1Z,3SITXWYCNWSRTX5FI50VQ4FQPI7XBM,approved,abstractness_1:07:00::,ideological : 19,abstract : 20,conceptual : 20,ideal : 20,,,,,,,,,,,,,,,,
A3T8J0PN3DLSTM,3QL2OFSM9715R8JHUZ9H3MUA5PWNCY,approved,abstractness_1:07:00::,conceptual : 15,ideal : 18,ideological : 18,abstract : 20,,,,,,,,,,,,,,,,
A3454T4PU9GJM0,304SM51WA4NJXGJGOVU8RWYY43JBS0,approved,abstractness_1:07:00::,ideal : 11,conceptual : 18,ideological : 19,abstract : 20,,,,,,,,,,,,,,,,
A1V0NUMA2VA07M,3M81GAB8A127K043WR53WWJXMFYQBQ,approved,abstractness_1:07:00::,ideal : 0,ideological : 19,abstract : 20,conceptual : 20,,,,,,,,,,,,,,,,
A03922113RU44GENR8ATX,30LB5CDZNDTFE52KL7RR38ZI0LR0ZR,approved,abstractness_1:07:00::,ideal : 17,ideological : 17,abstract : 20,conceptual : 20,,,,,,,,,,,,,,,,
A5P60L5IKHR34,3X08E93BHW18464OLRAXFBGEED366M,approved,accuracy_1:07:02::,inaccurate : 4,wrong : 6,away : 7,wide : 7,unfaithful : 10,hi-fi : 14,straight : 15,close : 16,surgical : 16,right : 18,true : 19,accurate : 20,dead-on : 20,,,,,,,
A3FCZNB9E8K3CX,358UUM7WR0MKUPGDWPINWK765B17RK,approved,accuracy_1:07:02::,inaccurate : 0,unfaithful : 0,wrong : 0,away : 2,wide : 4,hi-fi : 8,close : 13,right : 14,dead-on : 17,straight : 17,surgical : 18,accurate : 20,true : 20,,,,,,,
A3GLMBZSG3VU4P,32KTQ2V7REYXBSRE6EKQOH42UEOM9L,approved,accuracy_1:07:02::,away : 0,inaccurate : 0,wrong : 0,hi-fi : 1,wide : 8,close : 17,surgical : 18,accurate : 20,dead-on : 20,right : 20,straight : 20,true : 20,,,,,,,,
